,post_id,content_series,post_content
0,30067004,,"Flamengo | Hoje, o Flamengo chora. Perdemos um dos nossos. Adenir Silva, o nosso Deni, nos deixou aos 75 anos. Um pilar de nossos valores, um s ... | Instagram"
1,30169370,,"Flamengo | O número 7 é associado com a sabedoria. Essa história começou em 2017, quando um casal decidiu voltar ao Brasil. Era um momento que... | Instagram"
2,31975627,,"Flamengo | Fim de jogo. Bolívar 2 x 1 Flamengo.#CRF #VamosFlamengo📸 Gilvan de Souza / CRF | Instagram"
3,30346019,,"Flamengo | O Clube de Regatas do Flamengo informa que o ex-atleta Filipe Luís é o novo técnico do Sub-17 rubro-negro. O profissional inicia os tr... | Instagram"
4,30333143,,"Flamengo | FIMMMMM DE JOGO em Manaus! O MENGÃO estreia com o pé direito no @Cariocao! Goleada de 4 a 0 sobre o Audax com gols de Léo Pereira, Ped... | Instagram"
5,30209446,,"Flamengo | Nascido pra eternidade. Nascido pra essas cores...Gabriel Barbosa, Gabi... gol. Há exatos cinco anos, nossos destinos se entrelaçavam... | Instagram"
6,31744706,,"Flamengo | FIMMMMM DE JOGO no Serra Dourada! O MENGÃO vence o Atlético-GO por 2 a 1, pelo Brasileirão, com gols de De La Cruz e Pedro! #CRF #Va... | Instagram"
7,31637594,,"Flamengo | ALÔ, NAÇÃO! #ERGAATAÇA - MAIS UMA PRA CONTA! PELA 38ª VEZ, FLAMENGO NO TOPO DO RIO DE JANEIRO! | Instagram"
8,31546652,,"Flamengo | Fim de jogo em Bogotá. O Flamengo fica no empate em 1 a 1 com o Millonarios.#VamosFlamengo #CRF | Instagram"
9,30168928,,"Flamengo | Nova temporada, novo número! 🔴⚫️Pra cima, LA7️⃣! #VamosFlamengo #CRF 📸: Marcelo Cortes /CRF | Instagram"
10,30288240,,"Flamengo | HOJE TEM MENGÃO NO CAMPEONATO CARIOCA! Às 21h30 (horário de Brasília), o Mais Querido estreia na competição e na temporada contra... | Instagram"
11,31052931,,"Flamengo | O MENGÃO conquista a Taça Guanabara pela 24ª vez em sua história! É o maior vencedor da competição! 🏆❤️🖤#CRF #VamosFla... | Instagram"
12,31156835,,"Flamengo | FIMMMMMMM DE JOGO NO MARACA! O MENGÃO VENCE O FLUMINENSE POR 2 A 0 COM GOLS DE CEBOLINHA E PEDRO NO PRIMEIRO JOGO DA SEMIFINAL DO CARIOC... | Instagram"
13,31847375,,"Flamengo | FIM DE JOGO NO MARACA! Com gols de Luiz Araújo e Nico de la Cruz, o Mengão vence o São Paulo pelo placar de 2 a 1!#CRF #VamosFlamengo | Instagram"
14,30992816,,"Flamengo | FIMMMMMMMMMM DE JOGO NO MARACA! O MENGÃO VENCE O FLUMINENSE POR 2 A 0 COM GOLS DE PEDRO E CEBOLINHA! #CRF #VamosFlamengo | Instagram"
