,post_id,content_series,platform,url,impressions,likes,comments,post_content
148532,14299368,1,instagram,https://www.instagram.com/p/CbwHlf1sgQs/,2522945,224595.0,48865.0,"Flamengo | Fim de jogo no Maracanã. O Flamengo é derrotado pelo Fluminense por 2 a 0 na primeira partida da final do Campeonato Carioca. 

#CRF 

... | Instagram"
148531,14329567,1,instagram,https://www.instagram.com/p/Cb3csosL5Dz/,2779374,264617.0,42073.0,"Flamengo | Fim de jogo no Maracanã. O Flamengo empata em 1 a 1 com o Fluminense na segunda partida da final do Carioca. 

#CRF 

📸 @marcelocorte... | Instagram"
148513,15784184,1,instagram,https://www.instagram.com/p/CekOqaNM7s1/,2134098,161792.0,30768.0,"Flamengo | Fim de jogo em Bragança Paulista. O Flamengo perde para o RB Bragantino por 1 a 0, pelo Campeonato Brasileiro. #CRF

📸 @marcelocortes... | Instagram"
148521,15073739,1,instagram,https://www.instagram.com/p/CdTZlrCMAq8/,2318544,213166.0,35506.0,"Flamengo | Final de jogo no Mané Garrincha: 

Flamengo 0x1 Botafogo #CRF 

📸: @paulareis.raw / CRF | Instagram"
148499,16456062,1,instagram,https://www.instagram.com/p/CfsbM31M1gh/,3143880,677680.0,28972.0,"Flamengo | FIMMMMMMMMMMMMM DE JOGO NO MARACANÃ! MENGÃO GOLEIA O TOLIMA POR 7 A 1 COM GOLS DE PEDRO (4), GABIGOL, MATHEUS FRANÇA E QUIÑONES (CONT... | Instagram"
148514,15737650,1,instagram,https://www.instagram.com/p/CecBsecpWxm/,1947311,179495.0,28798.0,"Flamengo | Fim de jogo no Maracanã. O Flamengo perde para o Fortaleza por 2 a 1, pelo Brasileirão. 

#CRF 

📸 @gilvandesouza / CRF | Instagram"
148497,16573425,1,instagram,https://www.instagram.com/p/Cf-epFctu-6/,2326514,601653.0,32275.0,Flamengo | FIMMMMMMMMMMMMMMMMM DE JOGO NO MARACANÃ! O MENGÃO VENCE O ATLÉTICO-MG POR 2 A 0 COM GOLS DE ARRASCAETA E SE CLASSIFICA PARA AS QUARTAS... | Instagram
148519,15214902,1,instagram,https://www.instagram.com/p/CdjbeGNr73P/,2089916,186519.0,26201.0,"Flamengo | Fim de jogo no Castelão. O Flamengo fica no empate em 2 a 2 com o Ceará, pelo Campeonato Brasileiro. #CRF #VamosFlamengo  

📸 @alex... | Instagram"
148492,16985251,1,instagram,https://www.instagram.com/p/Cgx85lmMW-o/,3724194,882148.0,33203.0,Flamengo | FIMMMMMMMMMMMMMMMMMMMMM DE JOGO NA ARENA CORINTHIANS! O MENGÃO VENCE O CORINTHIANS POR 2 A 0 COM GOLS DE ARRASCAETA E GABIGOL NO JOGO DE... | Instagram
148510,15900255,1,instagram,https://www.instagram.com/p/CesAeAVsNFS/,2195554,218962.0,20096.0,"Flamengo | Fim de jogo no Beira-Rio. O Flamengo perde para o Internacional por 3 a 1, pelo Campeonato Brasileiro. 

#CRF 

📸 @marcelocortes_ / CRF | Instagram"
148507,16007757,1,instagram,https://www.instagram.com/p/CfAER7JJuR_/,1725391,154357.0,21710.0,"Flamengo | Fim de jogo no Mineirão. O Flamengo perde para o Atlético-MG por 2 a 0, pelo Campeonato Brasileiro. 

#CRF 

📸 @gilvandesouza / CRF | Instagram"
148505,16134147,1,instagram,https://www.instagram.com/p/CfIYXmHsWQB/,2014155,215114.0,19953.0,Flamengo | Fim de partida no Mineirão. O Flamengo perde para o Atlético-MG por 2 a 1 no jogo de ida das oitavas de final da Copa do Brasil. #CRF #... | Instagram
148486,17553913,1,instagram,https://www.instagram.com/p/Chqmy9AMwp4/,4497351,960663.0,30674.0,"Flamengo | FIMMMMMMMMMMMMM DE JOGO NO MORUMBI! O MENGÃO VENCE O SÃO PAULO POR 3 A 1 COM GOLS DE JOÃO GOMES, GABIGOL E EVERTON CEBOLINHA NO JOGO D... | Instagram"
