,post_id,content_series,post_content
0,14299368,1,"Flamengo | Hoje, o Flamengo chora. Perdemos um dos nossos. Adenir Silva, o nosso Deni, nos deixou aos 75 anos. Um pilar de nossos valores, um s ... | Instagram"
1,14329567,1,"Flamengo | O número 7 é associado com a sabedoria. Essa história começou em 2017, quando um casal decidiu voltar ao Brasil. Era um momento que... | Instagram"
2,15784184,1,"Flamengo | Fim de jogo. Bolívar 2 x 1 Flamengo.#CRF #VamosFlamengo📸 Gilvan de Souza / CRF | Instagram"
3,15073739,1,"Flamengo | O Clube de Regatas do Flamengo informa que o ex-atleta Filipe Luís é o novo técnico do Sub-17 rubro-negro. O profissional inicia os tr... | Instagram"
4,16456062,1,"Flamengo | FIMMMMM DE JOGO em Manaus! O MENGÃO estreia com o pé direito no @Cariocao! Goleada de 4 a 0 sobre o Audax com gols de Léo Pereira, Ped... | Instagram"
5,15737650,1,"Flamengo | Nascido pra eternidade. Nascido pra essas cores...Gabriel Barbosa, Gabi... gol. Há exatos cinco anos, nossos destinos se entrelaçavam... | Instagram"
6,16573425,1,"Flamengo | FIMMMMM DE JOGO no Serra Dourada! O MENGÃO vence o Atlético-GO por 2 a 1, pelo Brasileirão, com gols de De La Cruz e Pedro! #CRF #Va... | Instagram"
7,15214902,1,"Flamengo | ALÔ, NAÇÃO! #ERGAATAÇA - MAIS UMA PRA CONTA! PELA 38ª VEZ, FLAMENGO NO TOPO DO RIO DE JANEIRO! | Instagram"
8,16985251,1,"Flamengo | Fim de jogo em Bogotá. O Flamengo fica no empate em 1 a 1 com o Millonarios.#VamosFlamengo #CRF | Instagram"
9,15900255,1,"Flamengo | Nova temporada, novo número! 🔴⚫️Pra cima, LA7️⃣! #VamosFlamengo #CRF 📸: Marcelo Cortes /CRF | Instagram"
10,16007757,1,"Flamengo | HOJE TEM MENGÃO NO CAMPEONATO CARIOCA! Às 21h30 (horário de Brasília), o Mais Querido estreia na competição e na temporada contra... | Instagram"
11,16134147,1,"Flamengo | O MENGÃO conquista a Taça Guanabara pela 24ª vez em sua história! É o maior vencedor da competição! 🏆❤️🖤#CRF #VamosFla... | Instagram"
12,17553913,1,"Flamengo | FIMMMMMMM DE JOGO NO MARACA! O MENGÃO VENCE O FLUMINENSE POR 2 A 0 COM GOLS DE CEBOLINHA E PEDRO NO PRIMEIRO JOGO DA SEMIFINAL DO CARIOC... | Instagram"
13,15619829,1,"Flamengo | FIM DE JOGO NO MARACA! Com gols de Luiz Araújo e Nico de la Cruz, o Mengão vence o São Paulo pelo placar de 2 a 1!#CRF #VamosFlamengo | Instagram"
14,14604207,1,"Flamengo | FIMMMMMMMMMM DE JOGO NO MARACA! O MENGÃO VENCE O FLUMINENSE POR 2 A 0 COM GOLS DE PEDRO E CEBOLINHA! #CRF #VamosFlamengo | Instagram"
15,13546584,1,"Flamengo | Zagallo eterno tem 13 letras.Nos deixou um herói que moldou a história do futebol brasileiro. Mario Jorge Lobo Zagallo entra para a... | Instagram"
16,18000282,1,"Flamengo | O REI DOS CLÁSSICOS PERMANECE! 🤴🏾BH27 ❤️🖤 #VamosFlamengo #CRF | Instagram"
17,16155841,1,"Flamengo | FIIIIIIIIIIIIMMMMMMM DE JOOOOOOOGO NO MARACANÃ! Pela segunda rodada da CONMEBOL Libertadores 2024, o Mengão vence o Palestino pelo plac... | Instagram"
18,14752919,1,"Flamengo | Fim de jogo no Maracanã. O Flamengo fica no 0 a 0 com o Vasco, pelo Campeonato Carioca. #CRF 📸 Marcelo Cortes / CRF | Instagram"
19,15965368,1,"Flamengo | FIMMMMMMMMMMMMMM DE JOGO NO MARACANÃ! O MENGÃO VENCE O BOTAFOGO, PELO CARIOCA, POR 1 A 0 COM GOL DE LÉO PEREIRA! VAMOOOOOOOOOOOOOOOOOS... | Instagram"
20,17191650,1,"Flamengo | O Clube de Regatas do Flamengo vem a público informar que todos os contratos do futebol estão sempre à disposição do Conselho Fiscal... | Instagram"
21,13729996,1,"Flamengo | O Clube de Regatas do Flamengo informa que concluiu a transferência do goleiro @goleirosantosoficial para o Fortaleza. Agradecemos pelas... | Instagram"
22,14858023,1,"Flamengo | Fim de jogo no Allianz. Pelo Brasileirão, o Mengão empata em 0 a 0 com o Palmeiras. #CRF #VamosFlamengo | Instagram"
23,17055902,1,"Flamengo | GOLEADA NO MARACA! O Mengão vence o Boavista por 4 a 0, pelo Cariocão, com gols de Luiz Araújo, Pedro e De Arrascaeta (2)! #CRF #Vamos... | Instagram"
24,14415539,1,"Flamengo | FIMMMMMMMM DE JOGO NO MARACA! O MENGÃO vence o Nova Iguaçu por 1 a 0 com golaço de Bruno Henrique e conquista o @Cariocao pela 38ª ve... | Instagram"
25,16507939,1,"Flamengo | O MENGÃO ficou no Grupo E da @LibertadoresBR com Bolívar (BOL), Millonarios (COL) e Palestino (CHI)! #CRF #VamosFlamengo | Instagram"
26,16337508,1,"Flamengo | NOSSO TIME É A GENTE EM CAMPO! O MENGÃO ESTÁ ESCALADO PARA ENFRENTAR O BOLÍVAR, PELA @Libertadores! #VamosFlamengo #BOLxFLA | Instagram"
27,15553345,1,"Flamengo | @matiasv17 de MENGO! Caiu bem o novo Manto 1 no nosso reforço! 🇺🇾#ViñaVeio 📸: Igor Coelho | Instagram"
28,13875252,1,"Flamengo | FIMMMMMM DE JOGO EM ARACAJU! O Mengão vence o Bangu por 3 a 0 com hat-trick de Pedro, pelo Cariocão! Grande vitória! #CRF #VamosFlam... | Instagram"
29,14537821,1,"Flamengo | É O FLAURUGUAI 🇺🇾🔴⚫️📸: Gilvan de Souza /CRF | Instagram"
30,12295765,1,"FIM DE JOGO NO MARACANÃ! Com dois gols de Pedro e um de Ronald (contra), o Flamengo sai na frente na final do Campeonato Carioca! O cami... | Instagram"
